date;interval;start;pcs;chain;error_reports;language;help;outofcontext;errors
2023-4-19;0:00:27;0;[0, 0, 0];[0,0];0;[0, 1];0;0;0
2023-4-22;3 days, 2:28:48;5;[18, 6, 4];[0,0];0;[0, 0];1;0;0
2023-5-17;3 days, 2:50:11;0;[1, 0, 0];[2, 0];0;[0, 0];0;4;0
2024-3-15;30 days, 2:58:31;0;[3, 0, 0];[3, 0];0;[0, 0];0;0;0
2024-7-2;91 days, 15:55:36;7;[81, 2, 7];[16, 5];0;[0, 0];1;13;0
2024-8-29;57 days, 10:50:07;4;[14, 0, 0];[5, 0];0;[0, 0];1;0;0
2025-2-6;154 days, 23:54:37;2;[21, 0, 0];[0, 0];0;[0, 0];0;2;0
2025-3-27;49 days, 0:43:48;3;[6, 0, 6];[0, 0];0;[0, 0];0;5;0
2025-5-20;54 days, 14:31:46;1;[15, 0, 0];[25, 0];0;[0, 0];3;1;0
2025-6-1;11 days, 8:32:32;2;[7, 1, 2];[3, 0];0;[0, 1];1;1;0
2025-6-6;4 days, 23:28:35;6;[6, 0, 1];[3, 3];0;[0, 0];3;6;0
2025-6-22;16 days, 1:34:24;0;[14, 0, 0];[0, 0];0;[0, 0];0;2;0
2025-8-29;68 days, 7:01:15;3;[16, 0, 3];[6, 0];0;[0, 1];2;3;0
2025-9-6;8 days, 7:05:23;1;[9, 0, 1];[0, 0];0;[0, 0];0;2;0
2025-10-11;4 days, 16:39:51;1;[0, 0, 0];[0, 0];0;[0, 0];0;0;0
